index,strategy,exit,entry_date,expiry,split,pnl_inr,mc_ev,regime
NIFTY,Adaptive,expiry_settlement,2022-09-12,2022-09-15,development,-23587.50000000022,83.94388731252062,medium
NIFTY,Adaptive,15:00,2022-09-12,2022-09-15,development,-30558.75,83.94388731252062,medium
NIFTY,Adaptive,15:10,2022-09-12,2022-09-15,development,-29478.75,83.94388731252062,medium
NIFTY,Adaptive,expiry_settlement,2022-09-19,2022-09-22,development,16286.249999999998,17.787487504647405,medium
NIFTY,Adaptive,15:00,2022-09-19,2022-09-22,development,16874.999999999996,17.787487504647405,medium
NIFTY,Adaptive,15:10,2022-09-19,2022-09-22,development,16038.749999999998,17.787487504647405,medium
NIFTY,Adaptive,expiry_settlement,2022-09-26,2022-09-29,development,-5025.000000000109,20.629392392690505,medium
NIFTY,Adaptive,15:00,2022-09-26,2022-09-29,development,35280.0,20.629392392690505,medium
NIFTY,Adaptive,15:10,2022-09-26,2022-09-29,development,38771.25,20.629392392690505,medium
NIFTY,Batman,expiry_settlement,2022-09-30,2022-10-06,development,-2482.499999999944,18.462000636473892,low
NIFTY,Batman,15:00,2022-09-30,2022-10-06,development,10672.500000000004,18.462000636473892,low
NIFTY,Batman,15:10,2022-09-30,2022-10-06,development,9071.250000000002,18.462000636473892,low
NIFTY,Adaptive,expiry_settlement,2022-09-30,2022-10-06,development,41103.74999999994,21.03533049257255,low
NIFTY,Adaptive,15:00,2022-09-30,2022-10-06,development,-40620.0,21.03533049257255,low
NIFTY,Adaptive,15:10,2022-09-30,2022-10-06,development,-39157.5,21.03533049257255,low
NIFTY,Adaptive,expiry_settlement,2022-10-10,2022-10-13,development,-15959.999999999784,54.41170868809109,medium
NIFTY,Adaptive,15:00,2022-10-10,2022-10-13,development,-38977.5,54.41170868809109,medium
NIFTY,Adaptive,15:10,2022-10-10,2022-10-13,development,-41928.75000000001,54.41170868809109,medium
NIFTY,Adaptive,expiry_settlement,2022-10-17,2022-10-20,development,32606.25000000005,38.911615556249735,high
NIFTY,Adaptive,15:00,2022-10-17,2022-10-20,development,-34376.25,38.911615556249735,high
NIFTY,Adaptive,15:10,2022-10-17,2022-10-20,development,-36153.75,38.911615556249735,high
NIFTY,Adaptive,expiry_settlement,2022-10-21,2022-10-27,development,-21217.499999999945,75.55731568497394,medium
NIFTY,Adaptive,15:00,2022-10-21,2022-10-27,development,-31098.750000000004,75.55731568497394,medium
NIFTY,Adaptive,15:10,2022-10-21,2022-10-27,development,-33768.75,75.55731568497394,medium
NIFTY,Adaptive,expiry_settlement,2022-10-31,2022-11-03,development,-723.749999999945,67.96126980506526,low
NIFTY,Adaptive,15:00,2022-10-31,2022-11-03,development,-15933.75,67.96126980506526,low
NIFTY,Adaptive,15:10,2022-10-31,2022-11-03,development,-17306.25,67.96126980506526,low
NIFTY,Adaptive,expiry_settlement,2022-11-04,2022-11-10,development,-9255.0,46.606896427935645,low
NIFTY,Adaptive,15:00,2022-11-04,2022-11-10,development,-9435.0,46.606896427935645,low
NIFTY,Adaptive,15:10,2022-11-04,2022-11-10,development,-9412.5,46.606896427935645,low
NIFTY,Adaptive,expiry_settlement,2022-11-14,2022-11-17,development,-7121.25,69.08017117664839,low
NIFTY,Adaptive,15:00,2022-11-14,2022-11-17,development,-7687.5,69.08017117664839,low
NIFTY,Adaptive,15:10,2022-11-14,2022-11-17,development,-7290.0,69.08017117664839,low
NIFTY,Adaptive,expiry_settlement,2022-11-21,2022-11-24,development,16049.99999999989,67.29310580602939,low
NIFTY,Adaptive,15:00,2022-11-21,2022-11-24,development,-28203.749999999996,67.29310580602939,low
NIFTY,Adaptive,15:10,2022-11-21,2022-11-24,development,-32459.999999999996,67.29310580602939,low
NIFTY,Adaptive,expiry_settlement,2022-11-28,2022-12-01,development,15363.75,87.29202536187886,low
NIFTY,Adaptive,15:00,2022-11-28,2022-12-01,development,-34087.5,87.29202536187886,low
NIFTY,Adaptive,15:10,2022-11-28,2022-12-01,development,-30982.5,87.29202536187886,low
NIFTY,Adaptive,expiry_settlement,2022-12-05,2022-12-08,development,-8898.75,66.41676171291007,low
NIFTY,Adaptive,15:00,2022-12-05,2022-12-08,development,-9217.5,66.41676171291007,low
NIFTY,Adaptive,15:10,2022-12-05,2022-12-08,development,-9078.75,66.41676171291007,low
NIFTY,Adaptive,expiry_settlement,2022-12-12,2022-12-15,development,-4057.499999999891,57.69216337399248,low
NIFTY,Adaptive,15:00,2022-12-12,2022-12-15,development,-16020.0,57.69216337399248,low
NIFTY,Adaptive,15:10,2022-12-12,2022-12-15,development,-15468.75,57.69216337399248,low
NIFTY,Adaptive,expiry_settlement,2022-12-19,2022-12-22,development,-7353.75,71.25207011297411,low
NIFTY,Adaptive,15:00,2022-12-19,2022-12-22,development,-7552.5,71.25207011297411,low
NIFTY,Adaptive,15:10,2022-12-19,2022-12-22,development,-7522.5,71.25207011297411,low
NIFTY,Adaptive,expiry_settlement,2022-12-26,2022-12-29,development,11583.75,41.50541239473485,low
NIFTY,Adaptive,15:00,2022-12-26,2022-12-29,development,-28770.0,41.50541239473485,low
NIFTY,Adaptive,15:10,2022-12-26,2022-12-29,development,-31908.75,41.50541239473485,low
NIFTY,Adaptive,expiry_settlement,2023-01-02,2023-01-05,validation,-8073.75,70.39737577599736,low
NIFTY,Adaptive,15:00,2023-01-02,2023-01-05,validation,-8265.0,70.39737577599736,low
NIFTY,Adaptive,15:10,2023-01-02,2023-01-05,validation,-8242.5,70.39737577599736,low
NIFTY,Adaptive,expiry_settlement,2023-01-09,2023-01-12,validation,-8006.25,57.523077663490454,low
NIFTY,Adaptive,15:00,2023-01-09,2023-01-12,validation,-8190.0,57.523077663490454,low
NIFTY,Adaptive,15:10,2023-01-09,2023-01-12,validation,-8171.25,57.523077663490454,low
NIFTY,Adaptive,expiry_settlement,2023-01-16,2023-01-19,validation,101.24999999989086,67.07473446042516,low
NIFTY,Adaptive,15:00,2023-01-16,2023-01-19,validation,-15453.75,67.07473446042516,low
NIFTY,Adaptive,15:10,2023-01-16,2023-01-19,validation,-17100.0,67.07473446042516,low
NIFTY,Adaptive,expiry_settlement,2023-01-20,2023-01-25,validation,-7785.0,61.95356383409329,low
NIFTY,Adaptive,15:00,2023-01-20,2023-01-25,validation,-7961.249999999999,61.95356383409329,low
NIFTY,Adaptive,15:10,2023-01-20,2023-01-25,validation,-7953.75,61.95356383409329,low
